gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Smp_311350	7517.660806334525	3.078589784969756	0.29878169010857	10.303810062293548	6.772460578702909e-25	3.447958445667757e-23
Smp_323640	7708.146685000903	5.217763421229982	0.5066032102072244	10.299507220050328	7.082316518412417e-25	3.587028184843595e-23
Smp_129700	270.7165556851963	7.484990839357297	0.7300836973034868	10.252236650404042	1.156362338526621e-24	5.82651642221532e-23
Smp_316760	4874.496957320597	12.724223783963202	1.244217660119879	10.226686368313754	1.505838813566788e-24	7.548499693648898e-23
Smp_200180	15069.146231500012	5.41943009077949	0.530440704687365	10.216844301143203	1.66678837030733e-24	8.312681795792934e-23
Smp_028190	12399.618510188473	4.270270426539243	0.41833299589690714	10.207825986529633	1.829172354763865e-24	9.076223232394304e-23
Smp_349200	537.0510560410888	7.513592183345645	0.7375283325060614	10.187530230621878	2.2541813346482935e-24	1.1128597245549025e-22
Smp_054010	3325.950591741785	4.847539292013302	0.47625299096936113	10.178496269696202	2.473540750086845e-24	1.2150181322662768e-22
Smp_000340	2344.958383125214	3.658868663183094	0.3596444390902169	10.173572188239133	2.6018772755086955e-24	1.2716675184048748e-22
Smp_079960	2445.285513489451	4.818909880051872	0.4741952621759456	10.16229023027198	2.9213225872191888e-24	1.4206929497546054e-22
Smp_320510	231.11286369296704	7.745335307197661	0.762462547054025	10.158315758752748	3.04287329012226e-24	1.4724795252943114e-22
Smp_330780	87.9237203774343	7.648870128971948	0.7547974789994585	10.133672066725909	3.916587896147055e-24	1.8859431864451952e-22
Smp_158740	5260.845011101259	1.9664490864545066	0.19489902259797248	10.089579004769023	6.143241933051661e-24	2.9333494930212715e-22
Smp_335490	6779.662910316121	14.963847521697026	1.4831193412550059	10.089442639885416	6.151781545466606e-24	2.9333494930212715e-22
Smp_007670	1228.265218744308	2.684031734788721	0.26612144710317887	10.085740040892254	6.3881977694342776e-24	3.0312928736029156e-22
Smp_327430	467.07665595609694	4.741424297807527	0.47271377954442234	10.030222309950585	1.1226355344383876e-23	5.301334468181275e-22
Smp_344470	147.53009577816516	9.16583251184492	0.914563265375977	10.022086889830247	1.2190136906362777e-23	5.728778281716161e-22
Smp_176700	2240.7832938413817	16.893454054248394	1.690911278831518	9.990739470330102	1.673287722929038e-23	7.8260227232685865e-22
Smp_349170	14318.938449582392	7.503469656335919	0.7515462173662889	9.98404287447684	1.7902040343203792e-23	8.332973540705576e-22
Smp_061390	172.0690902520911	7.859561336404791	0.7874672597940822	9.980810298652948	1.8495015699437645e-23	8.568188552701563e-22
Smp_075430	2453.5556851066	4.1597247968997175	0.41714330151815787	9.971932383333856	2.0225486223859305e-23	9.325666407463429e-22
Smp_328680	268.60085213316506	10.195589150421197	1.022949905318292	9.966850866708697	2.1287138593804706e-23	9.769097641053567e-22
Smp_315650	2451.348439673166	3.782317367274494	0.38020480574472326	9.948105100528407	2.5703059080402742e-23	1.174053282761387e-21
Smp_349080	15394.344324860669	5.400278739375165	0.5449775558232385	9.9091764085909	3.797636813190492e-23	1.7265999929738165e-21
Smp_021390	642.4339591449612	3.046205545798047	0.30867890842095524	9.868525068268802	5.699650039087278e-23	2.5793555153739878e-21
